Date,Open,High,Low,Close,Volume,Adj Close
14/08/2015,41.9,42.5,41.9,42.1,465400,42.1
13/08/2015,42,42.45,42,42.1,713800,42.1
12/08/2015,43.23,43.37,42.04,42.21,566100,42.21
11/08/2015,43.62,43.75,42.89,43.25,467900,43.25
10/08/2015,43.01,43.46,42.67,43.38,490100,43.38
7/08/2015,43.5,43.5,43.05,43.08,368600,43.08
6/08/2015,43.67,43.93,43.24,43.78,406000,43.78
5/08/2015,44.04,44.3,43.55,43.72,562900,43.72
4/08/2015,43.76,44.26,43.49,44.02,470600,44.02
3/08/2015,45,45,43.67,43.86,438800,43.86
31/07/2015,44.14,44.58,44.13,44.45,801700,44.45
30/07/2015,43.7,43.94,43.38,43.81,290900,43.81
29/07/2015,42.93,43.69,42.88,43.46,467300,43.46
28/07/2015,43.13,43.6,42.705,43.02,830000,43.02
27/07/2015,42.87,43.43,42.85,43.42,235700,43.42
24/07/2015,43,43.51,42.82,43.24,295200,43.24
23/07/2015,43,43.56,42.96,43.21,443200,43.21
22/07/2015,43.67,43.98,42.83,43.14,405100,43.14
21/07/2015,43.88,43.99,43.45,43.8,386600,43.8
20/07/2015,43.21,43.78,43.21,43.7,356000,43.7
17/07/2015,43.34,43.44,42.93,43.05,264500,43.05
16/07/2015,43.22,43.6,43,43.18,506300,43.18
15/07/2015,41.99,42.77,41.99,42.54,339700,42.54
14/07/2015,41.55,42.18,41.51,42.15,430200,42.15
13/07/2015,41.1,41.71,40.43,41.04,264000,41.04
10/07/2015,40.86,41.435,40.63,41.13,608900,41.13
9/07/2015,40.41,40.97,40.17,40.79,482800,40.79
8/07/2015,40.98,41.34,40.58,40.67,557300,40.67
7/07/2015,40.7,41.37,40.69,41.33,573200,41.33
6/07/2015,40.36,40.53,40.15,40.34,323200,40.34
3/07/2015,41.16,41.32,40.62,40.99,415400,40.99
2/07/2015,40.31,41.17,40.26,41.16,481600,41.16
1/07/2015,39.94,40.74,39.94,40.46,404600,40.46
30/06/2015,39.55,39.9,39.31,39.9,797900,39.9
29/06/2015,39.58,39.99,39.19,39.67,853700,39.67
26/06/2015,40,40.1,39.68,40.1,933400,40.1
25/06/2015,40.17,40.22,40,40.1,969300,40.1
24/06/2015,40.6,40.6,40,40.2,454200,40.2
23/06/2015,40.2,40.6,40.18,40.42,745500,40.42
22/06/2015,39.91,40.17,39.73,39.98,314900,39.98
19/06/2015,39.51,40.4,39.51,39.9,652600,39.9
18/06/2015,39.95,40.2,39.5,39.96,1090500,39.96
17/06/2015,40.4,40.65,40.06,40.3,443500,40.3
16/06/2015,40.18,40.38,40.01,40.1,439000,40.1
15/06/2015,40.1,40.43,39.98,40.38,314900,40.38
12/06/2015,40.56,40.66,40.21,40.33,318600,40.33
11/06/2015,40.48,40.78,40.3,40.63,475200,40.63
10/06/2015,40,40.46,39.88,40.3,542100,40.3
9/06/2015,40.37,40.68,40.08,40.08,514900,40.08
8/06/2015,40.36,40.36,40.36,40.36,0,40.36
5/06/2015,40.6,41.2,40.18,40.36,542800,40.36
4/06/2015,40.49,41.33,40.48,40.49,755700,40.49
3/06/2015,40.52,40.56,40.02,40.28,505500,40.28
2/06/2015,41.35,41.67,40.71,40.71,444600,40.71
1/06/2015,41.3,41.5,40.76,41.45,437700,41.45
29/05/2015,41.6,42.02,41.58,41.63,1274400,41.63
28/05/2015,41.5,41.68,41.035,41.43,330500,41.43
27/05/2015,41.77,41.86,41.15,41.43,433200,41.43
26/05/2015,42.1,42.28,41.71,41.96,461500,41.96
25/05/2015,41.53,42.18,41.45,41.97,371300,41.97
22/05/2015,41.57,41.63,41.45,41.54,390500,41.54
21/05/2015,41.46,41.71,41.24,41.4,646300,41.4
20/05/2015,41.56,41.99,41.18,41.46,572500,41.46
19/05/2015,42.16,42.27,41.34,41.39,644100,41.39
18/05/2015,42.61,42.71,42.16,42.16,423400,42.16
15/05/2015,42.44,42.83,42.36,42.65,398900,42.65
14/05/2015,42.04,42.19,41.635,42.13,483800,42.13
13/05/2015,41.67,42.09,41.515,42.04,519000,42.04
12/05/2015,41.28,41.92,41.15,41.81,608500,41.81
11/05/2015,42.1,42.35,41.06,41.21,770800,41.21
8/05/2015,42,42.42,41.91,42.09,490600,42.09
7/05/2015,41.5,41.73,40.85,41.61,759600,41.61
6/05/2015,42.5,42.53,41.855,42,826700,42
5/05/2015,42.9,43.41,42.63,43.08,549200,43.08
4/05/2015,42.29,42.7,42.14,42.57,388300,42.57
1/05/2015,42.2,42.28,41.97,42.1,468500,42.1
30/04/2015,42,42.2,41.61,42.15,587900,42.15
29/04/2015,43.03,43.1,42.11,42.11,533400,42.11
28/04/2015,43,43.25,42.7,42.96,568800,42.96
27/04/2015,42.94,43.16,42.1,43.01,639400,43.01
24/04/2015,42.35,42.85,42.31,42.85,547500,42.85
23/04/2015,42.2,42.22,41.54,42.03,655600,42.03
22/04/2015,42,42.54,41.99,42.14,568200,42.14
21/04/2015,42.09,42.22,41.77,42,1022800,42
20/04/2015,42.09,42.38,41.61,42.07,538200,42.07
17/04/2015,42.8,43.06,42.35,42.38,457300,42.38
16/04/2015,43.99,43.99,42.64,43,727100,43
15/04/2015,43.7,43.87,43.21,43.79,747800,43.79
14/04/2015,42.78,43.46,42.78,43.1,359000,43.1
13/04/2015,42.75,43.24,42.74,43.16,378100,43.16
10/04/2015,42.62,42.82,42.42,42.67,340200,42.67
9/04/2015,41.99,42.61,41.99,42.46,528000,42.46
8/04/2015,41.51,41.75,41.3,41.61,419400,41.61
7/04/2015,41.47,42.09,41.38,41.54,600700,41.54
6/04/2015,41.23,41.23,41.23,41.23,0,41.23
3/04/2015,41.23,41.23,41.23,41.23,0,41.23
2/04/2015,41.37,41.72,41.22,41.23,717300,41.23
1/04/2015,41.14,41.745,41.1,41.5,636400,41.5
31/03/2015,41.5,41.91,41.36,41.41,726900,41.41
30/03/2015,41.49,41.78,41.16,41.39,627300,41.39
27/03/2015,41.81,41.87,41.285,41.71,1302700,41.71
26/03/2015,42.5,42.54,42.02,42.07,374900,42.07
25/03/2015,42.91,43.1,42.67,42.75,432200,42.75
24/03/2015,42.75,43.04,42.55,42.9,433800,42.9
23/03/2015,43.27,43.3,42.73,42.89,315700,42.89
20/03/2015,42.54,43.3,42.52,43.27,506300,43.27
19/03/2015,42.91,43.25,42.64,42.72,799900,42.72
18/03/2015,43.13,43.3,42.54,42.79,644500,42.79
17/03/2015,43.2,43.25,42.68,42.84,533500,42.84
16/03/2015,42.76,43.06,42.26,42.83,338700,42.83
13/03/2015,42.85,43,42.17,42.66,357500,42.66
12/03/2015,42.21,42.9,42.03,42.85,530600,42.85
11/03/2015,41.8,42.51,41.71,42.26,552700,42.26
10/03/2015,42.43,42.73,42.135,42.27,627500,42.27
9/03/2015,42.29,42.57,42,42.5,543900,42.5
6/03/2015,41.69,42.4,41.54,42.35,753200,42.35
5/03/2015,42.6,42.81,41.29,41.8,928100,41.8
4/03/2015,43,43.56,42.78,42.79,1765900,42.79
3/03/2015,44.77,45.37,43.73,44.11,578100,42.79143
2/03/2015,43.78,44.77,43.78,44.52,658900,43.18918
27/02/2015,43.85,44.36,43.49,44.14,1256400,42.82053
26/02/2015,43.49,43.77,43.285,43.74,531400,42.43249
25/02/2015,43.48,43.92,43.09,43.74,571500,42.43249
24/02/2015,43.19,43.495,42.66,43.32,545400,42.02505
23/02/2015,42.18,43.18,42.01,43.18,616800,41.88923
20/02/2015,42.5,42.75,41.78,41.99,500600,40.73481
19/02/2015,42.27,42.7,42.18,42.45,599200,41.18105
18/02/2015,41.6,42.12,41.46,42.12,899400,40.86092
17/02/2015,41.22,41.6,40.95,41.07,458900,39.8423
16/02/2015,40.65,41.25,40.62,41.22,441100,39.98782
13/02/2015,39.95,40.73,39.68,40.48,807100,39.26994
12/02/2015,40.5,40.67,39.5,39.65,760000,38.46475
11/02/2015,40.18,40.66,39.99,40.14,456200,38.9401
10/02/2015,39.96,40.09,39.62,39.83,444300,38.63937
9/02/2015,39.67,40.01,39.59,39.91,310100,38.71698
6/02/2015,39.68,40.05,39.54,39.71,586700,38.52296
5/02/2015,39.45,39.75,39.29,39.62,505900,38.43565
4/02/2015,39.5,39.67,39.2,39.46,602300,38.28043
3/02/2015,38.75,39.05,38.65,38.95,488700,37.78568
2/02/2015,38.01,38.75,38,38.63,588900,37.47524
30/01/2015,38.19,38.55,37.98,38.14,1019000,36.99989
29/01/2015,37.75,38.19,37.75,38.09,598600,36.95139
28/01/2015,37.95,38.16,37.73,38.1,353400,36.96109
27/01/2015,37.8,38.085,37.77,38.01,551200,36.87378
26/01/2015,37.66,37.66,37.66,37.66,0,36.53424
23/01/2015,37.21,37.69,37.17,37.66,638000,36.53424
22/01/2015,37.13,37.13,36.9,36.99,548800,35.88427
21/01/2015,36.87,37.25,36.73,37.13,577000,36.02008
20/01/2015,36.35,36.76,36.05,36.63,384400,35.53503
19/01/2015,36.6,36.89,36.48,36.64,444100,35.54473
16/01/2015,36.3,36.75,36.14,36.34,388700,35.2537
15/01/2015,36.5,36.53,36.16,36.3,521500,35.21489
14/01/2015,36.64,36.93,36.4,36.57,342300,35.47682
13/01/2015,36.9,36.93,36.46,36.66,232200,35.56413
12/01/2015,37,37.25,36.89,36.95,218400,35.84546
9/01/2015,36.9,37.23,36.85,37.17,374800,36.05888
8/01/2015,36.85,36.96,36.59,36.7,309900,35.60294
7/01/2015,36.29,36.54,36.2,36.45,421800,35.36041
6/01/2015,36.61,36.75,36.19,36.41,435100,35.32161
5/01/2015,36.75,36.99,36.68,36.96,280300,35.85516
2/01/2015,36.98,36.98,36.48,36.77,173900,35.67084
1/01/2015,36.74,36.74,36.74,36.74,0,35.64174
31/12/2014,36.8,36.85,36.62,36.74,106600,35.64174
30/12/2014,37.05,37.2,36.58,36.66,254800,35.56413
29/12/2014,36.65,37.05,36.63,36.98,292600,35.87457
26/12/2014,36.64,36.64,36.64,36.64,0,35.54473
25/12/2014,36.64,36.64,36.64,36.64,0,35.54473
24/12/2014,36.56,36.72,36.32,36.64,117600,35.54473
23/12/2014,36.8,36.97,36.55,36.61,303000,35.51563
22/12/2014,36.5,36.78,36.34,36.78,383000,35.68054
19/12/2014,35.98,36.47,35.9,36.47,1052600,35.37981
18/12/2014,35.2,35.92,35.2,35.54,672600,34.47761
17/12/2014,35.05,35.37,34.99,35.04,382500,33.99256
16/12/2014,35.33,35.36,35.02,35.11,543300,34.06047
15/12/2014,35.25,35.63,35.06,35.37,387100,34.31269
12/12/2014,35.34,35.87,35.31,35.62,453900,34.55522
11/12/2014,35.38,35.56,35.16,35.46,693500,34.4
10/12/2014,36.02,36.1,35.42,35.57,459900,34.50671
9/12/2014,36.33,36.49,36,36,544400,34.92386
8/12/2014,36.26,36.75,36.24,36.49,355800,35.39922
5/12/2014,36.42,36.68,36.09,36.25,487600,35.16639
4/12/2014,36.4,36.5,36.02,36.34,533800,35.2537
3/12/2014,36,36.43,35.7,36.25,381600,35.16639
2/12/2014,35.77,36.2,35.53,36.16,356800,35.07908
1/12/2014,36.15,36.38,35.78,35.82,491500,34.74924
28/11/2014,36.09,36.1,35.74,36,603400,34.92386
27/11/2014,36.01,36.49,35.95,36.05,309100,34.97237
26/11/2014,35.46,36.08,35.46,36.01,317600,34.93356
25/11/2014,35.43,35.59,35.14,35.43,414500,34.3709
24/11/2014,35.75,35.98,35.46,35.52,403100,34.45821
21/11/2014,35.58,35.81,35.35,35.56,315400,34.49702
20/11/2014,35.85,35.96,35.53,35.67,350200,34.60372
19/11/2014,36,36.16,35.89,35.95,382900,34.87536
18/11/2014,36.3,36.39,35.89,36.13,342000,35.04998
17/11/2014,36.82,36.94,36.21,36.25,396200,35.16639
14/11/2014,37,37,36.59,36.78,279000,35.68054
13/11/2014,36.85,36.97,36.59,36.81,365200,35.70965
12/11/2014,36.74,36.99,36.66,36.66,366600,35.56413
11/11/2014,37.01,37.01,36.73,36.75,494600,35.65144
10/11/2014,37.25,37.25,36.59,37,432000,35.89397
7/11/2014,37.3,37.35,37.05,37.24,722100,36.1268
6/11/2014,36.8,37.04,36.755,36.98,740400,35.87457
5/11/2014,36.46,36.69,36.35,36.63,580200,35.53503
4/11/2014,36.07,36.51,36.06,36.48,819000,35.38951
3/11/2014,36.04,36.37,35.99,36.1,308600,35.02087
31/10/2014,35.92,36.24,35.815,35.99,820700,34.91416
30/10/2014,35.6,35.85,35.58,35.79,485300,34.72014
29/10/2014,35.66,35.79,35.34,35.4,335800,34.3418
28/10/2014,35.51,35.64,35.35,35.61,329800,34.54552
27/10/2014,35.41,35.65,35.31,35.43,424200,34.3709
24/10/2014,35.2,35.48,35.07,35.35,496300,34.29329
23/10/2014,35.02,35.17,34.87,35.08,554200,34.03136
22/10/2014,35,35.18,34.95,35.16,422300,34.10897
21/10/2014,34.72,34.95,34.51,34.63,468100,33.59482
20/10/2014,34.59,34.72,34.49,34.59,416700,33.55601
17/10/2014,34.71,34.95,34.27,34.34,617100,33.31348
16/10/2014,34.43,34.56,34.07,34.45,866900,33.4202
15/10/2014,34.46,34.76,34.4,34.51,491000,33.4784
14/10/2014,34.26,34.64,34.14,34.56,513500,33.52691
13/10/2014,34.46,34.46,34.07,34.25,458800,33.22617
10/10/2014,34.95,35.21,34.66,34.67,598900,33.63362
9/10/2014,35.2,35.4,35.1,35.2,523000,34.14778
8/10/2014,35.11,35.23,35.01,35.06,529100,34.01196
7/10/2014,35.81,35.89,35.07,35.59,522300,34.52612
6/10/2014,35.74,35.89,35.68,35.81,195300,34.73954
3/10/2014,35.67,35.81,35.62,35.72,530700,34.65223
2/10/2014,35.78,36.15,35.66,35.73,794000,34.66193
1/10/2014,35.7,36.2,35.55,36.12,773400,35.04027
30/09/2014,35.83,35.94,35.65,35.86,548900,34.78805
29/09/2014,35.8,36.18,35.79,35.91,397500,34.83655
26/09/2014,36.06,36.07,35.92,35.96,452200,34.88506
25/09/2014,36.3,36.48,36.23,36.36,374800,35.2731
24/09/2014,36.03,36.2,35.9,36.18,337300,35.09848
23/09/2014,36,36.49,35.81,36.45,407200,35.36041
22/09/2014,36.15,36.17,35.81,35.96,454000,34.88506
19/09/2014,36,36.22,35.93,36.2,574500,35.11788
18/09/2014,35.85,35.98,35.49,35.94,736800,34.86565
17/09/2014,36.45,36.45,35.85,35.85,579900,34.77834
16/09/2014,36.34,36.37,36.2,36.2,556400,35.11788
15/09/2014,36.4,36.49,36.3,36.34,555300,35.2537
12/09/2014,36.43,36.52,36.3,36.51,684900,35.41861
11/09/2014,36.45,36.62,36.37,36.51,449900,35.41861
10/09/2014,36.34,36.52,36.23,36.46,489100,35.37011
9/09/2014,36.3,36.63,36.24,36.63,249200,35.53503
8/09/2014,36.52,36.64,36.27,36.41,325600,35.32161
5/09/2014,36.68,36.965,36.51,36.54,381000,35.44772
4/09/2014,36.62,36.85,36.51,36.62,390100,35.52533
3/09/2014,36.96,37.05,36.76,36.83,809000,35.72905
2/09/2014,37.44,37.74,37.35,37.71,676300,35.33684
1/09/2014,37.48,37.6,37.33,37.37,448600,35.01824
29/08/2014,37.28,37.49,37.18,37.49,1184900,35.13069
28/08/2014,37.03,37.25,36.88,37.24,490700,34.89642
27/08/2014,37,37.355,37,37.14,614300,34.80272
26/08/2014,36.92,37.13,36.9,36.99,374100,34.66216
25/08/2014,36.95,37.05,36.81,36.91,512800,34.58719
22/08/2014,37.04,37.125,36.795,37.1,767900,34.76523
21/08/2014,36.87,37.19,36.7,37.19,1036600,34.84957
20/08/2014,36.46,36.6,36.34,36.6,594300,34.2967
19/08/2014,36.2,36.47,36.16,36.36,555700,34.0718
18/08/2014,35.9,36.15,35.85,36.08,434000,33.80943
15/08/2014,35.76,36.04,35.76,35.84,342500,33.58453
14/08/2014,35.46,35.84,35.45,35.72,588500,33.47208
13/08/2014,35.51,35.62,35.4,35.46,330400,33.22844
12/08/2014,35.4,35.7,35.37,35.58,525200,33.34089
11/08/2014,35.63,35.68,35.23,35.28,448900,33.05977
8/08/2014,35.48,35.69,35.22,35.42,598900,33.19096
7/08/2014,35.64,35.68,35.51,35.65,463300,33.40649
6/08/2014,35.65,35.76,35.47,35.72,635700,33.47208
5/08/2014,36.03,36.04,35.7,35.79,621800,33.53767
4/08/2014,35.89,35.98,35.74,35.93,398200,33.66886
1/08/2014,36.1,36.16,35.69,35.95,1197400,33.68761
31/07/2014,36.09,36.31,36.03,36.19,485200,33.9125
30/07/2014,36.16,36.33,36.01,36.21,429600,33.93124
29/07/2014,36.15,36.35,36.14,36.2,292000,33.92187
28/07/2014,36.2,36.34,36.15,36.15,273300,33.87502
25/07/2014,36.6,36.62,36.09,36.22,1019500,33.94061
24/07/2014,36.54,36.78,36.46,36.6,614900,34.2967
23/07/2014,36.48,36.61,36.26,36.6,658400,34.2967
22/07/2014,36.16,36.34,36.06,36.24,300600,33.95936
21/07/2014,36.25,36.44,36.16,36.21,363600,33.93124
18/07/2014,36.16,36.33,36.07,36.2,482400,33.92187
17/07/2014,36.5,36.55,36.2,36.22,385200,33.94061
16/07/2014,36.45,36.46,36.23,36.34,336300,34.05306
15/07/2014,36.36,36.4,36.14,36.33,308200,34.04369
14/07/2014,36.1,36.35,35.96,36.15,337600,33.87502
11/07/2014,35.81,36.06,35.75,35.86,485000,33.60327
10/07/2014,36.05,36.18,35.84,35.87,343800,33.61264
9/07/2014,36.04,36.1,35.8,35.99,496900,33.72509
8/07/2014,36.41,36.45,36.05,36.15,666400,33.87502
