,name1,name2,atbat86,hits86,homer86,runs86,rbi86,walks86,years,atbat,hits,homeruns,runs,rbi,walks,league86,div86,team86,posit86,outs86,assist86,error86,sal87,league87,team87
1,Al,Newman,185,37,1,23,8,21,2,214,42,1,30,9,24,N,E,Ossp,2B,76,127,7,70,A,Ossp
2,Alan,Ashby,315,81,7,24,38,39,14,3449,835,69,321,414,375,N,W,Ossp,C,632,43,10,475,N,Ossp
3,Alan,Trammell,574,159,21,107,75,59,10,4631,1300,90,702,504,488,A,E,Effe,SS,238,445,22,517.143,A,Effe
4,Alan,Wiggins,239,60,0,30,11,22,6,1941,510,4,309,103,207,A,E,Arda,2B,121,151,6,700,A,Arda
5,Alex,Trevino,202,53,4,31,26,27,9,1876,467,15,192,186,161,N,W,Arda,C,304,45,11,512.5,N,Arda
6,Alfredo,Griffin,594,169,4,74,51,35,11,4408,1133,19,501,336,194,A,W,Arda,SS,282,421,25,750,A,Arda
7,Alvin,Davis,479,130,18,66,72,76,3,1624,457,63,224,266,263,A,W,Effe,1B,880,82,14,480,A,Effe
8,Andre,Dawson,496,141,20,65,78,37,11,5628,1575,225,828,838,354,N,E,Ossp,RF,200,11,3,500,N,Ossp
9,Andre,Thornton,401,92,17,49,66,65,13,5206,1332,253,784,890,866,A,E,Loom,DH,0,0,0,1100,A,Loom
10,Andres,Galarraga,321,87,10,39,42,30,2,396,101,12,48,46,33,N,E,Ossp,1B,805,40,4,91.5,N,Ossp
11,Andres,Thomas,323,81,6,26,32,8,2,341,86,6,32,34,8,N,W,Tumm,SS,143,290,19,75,N,Tumm
12,Andy,Allanson,293,66,1,30,29,14,1,293,66,1,30,29,14,A,E,Loom,C,446,33,20,NA,A,Loom
13,Andy,Van Slyke,418,113,13,48,61,47,4,1512,392,41,205,204,203,N,E,Tumm,RF,211,11,7,550,N,Tumm
14,Argenis,Salazar,298,73,0,24,24,7,3,509,108,0,41,37,12,A,W,Csse,SS,121,283,9,100,A,Csse
15,Barry,Bonds,413,92,16,72,48,65,1,413,92,16,72,48,65,N,E,Immo,CF,280,9,5,100,N,Immo
16,Ben,Oglivie,346,98,5,31,53,30,16,5913,1615,235,784,901,560,A,E,Immo,DH,0,0,0,NA,A,Immo
17,Bill,Almon,196,43,7,29,27,30,13,3231,825,36,376,290,238,N,E,Immo,UT,80,45,8,240,N,Immo
18,Bill,Buckner,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,A,E,Ossp,1B,1067,157,14,776.667,A,Ossp
19,Bill,Doran,550,152,6,92,37,81,5,2308,633,32,349,182,308,N,W,Ossp,2B,262,329,16,625,N,Ossp
20,Bill,Madlock,379,106,10,38,60,30,14,6207,1906,146,859,803,571,N,W,Arda,3B,72,170,24,850,N,Arda
21,Bill,Russell,216,54,0,21,18,15,18,7318,1926,46,796,627,483,N,W,Arda,UT,103,84,5,NA,N,Arda
22,Bill,Schroeder,217,46,7,32,19,9,4,694,160,32,86,76,32,A,E,Immo,UT,307,25,1,180,A,Immo
23,Billy,Beane,183,39,3,20,15,11,3,201,42,3,20,16,11,A,W,Immo,OF,118,0,0,NA,A,Immo
24,Billy,Hatcher,419,108,6,55,36,22,3,591,149,8,80,46,31,N,W,Ossp,CF,226,7,4,110,N,Ossp
25,Billy Jo,Robidoux,181,41,1,15,21,33,2,232,50,4,20,29,45,A,E,Immo,1B,326,29,5,67.5,A,Immo
26,Billy,Sample,200,57,6,23,14,14,9,2516,684,46,371,230,195,N,W,Tumm,OF,69,1,1,NA,N,Tumm
27,Bip,Roberts,241,61,1,34,12,14,1,241,61,1,34,12,14,N,W,Dimi,2B,166,172,10,NA,N,Dimi
28,Bo,Diaz,474,129,10,50,56,40,10,2331,604,61,246,327,166,N,W,Immo,C,732,83,13,750,N,Immo
29,Bob,Boone,22,10,1,4,2,1,6,84,26,2,9,9,3,A,W,Arda,C,812,84,11,NA,A,Arda
30,Bob,Brenly,472,116,16,60,62,74,6,1924,489,67,242,251,240,N,W,Foog,C,518,55,3,600,N,Foog
31,Bob,Dernier,324,73,4,32,18,22,7,1931,491,13,291,108,180,N,E,Hull,CF,222,3,3,708.333,N,Hull
32,Bob,Horner,517,141,27,70,87,52,9,3571,994,215,545,652,337,N,W,Tumm,1B,1378,102,8,NA,N,Tumm
33,Bob,Kearney,204,49,6,23,25,12,7,1309,308,27,126,132,66,A,W,Effe,C,419,46,5,300,A,Effe
34,Bob,Melvin,268,60,5,24,25,15,2,350,78,5,34,29,18,N,W,Foog,C,442,59,6,90,N,Foog
35,Bobby,Bonilla,426,109,3,55,43,62,1,426,109,3,55,43,62,A,W,Hull,O1,361,22,2,115,N,Hull
36,Bobby,Grich,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,A,W,Arda,2B,127,221,7,NA,A,Arda
37,Bobby,Meacham,161,36,0,19,10,17,4,1053,244,3,156,86,107,A,E,Yodd,SS,70,149,12,NA,A,Yodd
38,Brett,Butler,587,163,4,92,51,70,6,2695,747,17,442,198,317,A,E,Loom,CF,434,9,3,765,A,Loom
39,Brian,Downing,513,137,20,90,95,90,14,5201,1382,166,763,734,784,A,W,Arda,LF,267,5,3,900,A,Arda
40,Brook,Jacoby,583,168,17,83,80,56,5,1646,452,44,219,208,136,A,E,Loom,3B,109,292,25,612.5,A,Loom
41,Bruce,Bochte,407,104,6,57,43,65,12,5233,1478,100,643,658,653,A,W,Arda,1B,912,88,9,NA,A,Arda
