X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1756017.7252,5917305.1463,240894,,518201,0,,0,1,,Null,2019/2020,DOMINION ROAD,BELLWOOD AVENUE,,Non-Injury Crash,No,2020,,North,,0,,Flat,,,,,,Overcast,547800,0,1,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Light rain,Null
1766251.4767,5907530.3194,240895,,523402,0,,0,2,,North,2020/2021,SOUTHERN MOTORWAY,EAST TAMAKI OBR,,Minor Crash,Yes,2020,,South,,0,,Flat,,,,,,Bright sun,699300,1,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,100,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Fine,Null
1764039.7934,5904258.5833,240896,,524604,0,0,0,1,0,East,2018/2019,020-0000-I,PUHINUI ROAD-SH 20B ON RAMP,,Non-Injury Crash,Yes,2019,0,North,0,0,0,Flat,1,Christmas New Year,0,,0,Bright sun,781100,0,0,0,4,0,0,0,0,0,,0,0,Auckland Region,Bridge,2-way,Sealed,0,0,0,0,100,0,Off,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1793566.5389,5516728.9647,240897,,561700,0,,0,2,,Null,2020/2021,JOHNSTON STREET,UNION STREET,,Non-Injury Crash,Yes,2020,,South,,0,,Flat,,,,,,Dark,1781602,0,0,0,2,,,0,,,,,,Manawatū-Whanganui Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,42,Horowhenua District,Stop,,,,,0,0,Urban,0,,,Fine,Null
1766519.0275,5912825.8616,240898,,522920,0,0,0,1,0,South,2020/2021,PAKURANGA HIGHWAY,TI RAKAU DRIVE,,Serious Crash,No,2020,0,West,0,0,0,Flat,0,,0,,0,Dark,683800,0,0,0,4,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Unsealed,0,0,1,0,80,0,On,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1756256.4079,5920889.5,240899,,514101,0,,0,1,,North,2019/2020,NORTHERN MOTORWAY,FANSHAWE OBR,,Non-Injury Crash,Yes,2020,,South,,0,,Flat,,,,,,Dark,432400,0,0,0,4,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,80,,On,1,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Light rain,Null
1800960.4834,5815585.8641,240900,,529700,0,0,0,1,0,East,2020/2021,CLAUDELANDS ROAD,VICTORIA STREET,,Minor Crash,No,2020,0,West,0,0,0,Flat,0,,1,,0,Overcast,911402,1,0,0,3,0,0,0,0,0,,0,1,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,16,Hamilton City,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1768775.7288,5905019.6904,240901,,523722,0,,0,1,,Null,2018/2019,ASPIRING AVENUE,HOLLYFORD DRIVE,,Non-Injury Crash,No,2018,,Null,,0,,Flat,,,,,,Dark,716013,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null
1929908.0942,5604996.3986,240902,,548200,0,,0,2,,Null,2020/2021,QUEEN STREET EAST,RUSSELL STREET NORTH,,Minor Crash,No,2020,,North,,0,,Flat,,,,,,Overcast,1492100,2,0,0,2,,,0,,,,,,Hawke's Bay Region,Rail xing,2-way,Sealed,,0,0,,50,,Off,0,0,,30,Hastings District,Traffic Signals,,,,,0,0,Urban,0,,,Light rain,Null
1879371.1411,5824272.4953,240903,,538201,1,,0,1,,North,2019/2020,GREY STREET,ELIZABETH STREET,,Minor Crash,No,2020,,South,,0,,Flat,,,,,,Bright sun,1164800,1,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,23,Tauranga City,Nil,,,,,0,0,Urban,0,,,Fine,Null
