X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1184323.731,4873013.261,545908,,612730,1,,0,0,,West,2019/2020,PAPATOTARA COAST ROAD,DICKENS ROAD SOUTH,,Serious Crash,No,2020,,East,,0,,Flat,,,,,,Bright sun,3193300,0,0,0,2,,,0,,,,,,Southland Region,Nil,2-way,Sealed,,0,1,,100,,None,0,0,,73,Southland District,Unknown,,,,,0,0,Open,1,,,Fine,Strong wind
1568971.593,5185304.051,545909,,588102,0,,0,2,,Null,2020/2021,QUEEN ELIZABETH II DRIVE,MAIN NORTH ROAD,,Non-Injury Crash,Yes,2020,,East,,0,,Flat,,,,,,Dark,2508400,0,0,0,5,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,60,Christchurch City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1982565.573,5670250.909,545910,,545500,0,0,0,0,0,East,2020/2021,MARINE PARADE,PAUL STREET,,Non-Injury Crash,No,2020,0,Null,0,0,0,Flat,0,,0,,0,Bright sun,1391000,0,0,0,2,0,0,0,0,1,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,1,0,,29,Wairoa District,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1754881.136,5918650.398,545912,,515420,0,0,0,1,0,South,2019/2020,GREAT NORTH ROAD,TUARANGI ROAD,,Non-Injury Crash,No,2020,0,North,0,0,0,Flat,0,,0,,0,Twilight,404700,0,0,0,3,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1773849.345,5446312.81,545913,,567000,0,0,0,1,0,East,2020/2021,RIVER ROAD,GIBBONS STREET,,Non-Injury Crash,Yes,2020,0,West,0,0,0,Flat,0,,0,,0,Bright sun,1907700,0,0,0,2,0,0,0,0,0,,0,1,Wellington Region,Nil,2-way,Sealed,0,0,0,0,100,0,Off,0,0,,45,Upper Hutt City,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1763850.303,5912799.757,545914,,520500,0,,0,2,,South,2019/2020,MOUNT WELLINGTON HIGHWAY,SOUTH EASTERN OBR,,Non-Injury Crash,No,2020,,South,,0,,Flat,,,,,,Overcast,637500,0,0,0,3,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Light rain,Null
1571381.685,5193148.47,545916,,586501,0,0,0,0,0,North,2019/2020,CHRISTCHURCH NORTHERN MOTORWAY,WAIMAKARIRI RIV BR,,Non-Injury Crash,Yes,2020,0,South,0,0,0,Flat,1,,0,,0,Bright sun,2455505,0,0,0,2,0,0,0,0,0,,0,0,Canterbury Region,Bridge,1-way,Sealed,0,0,0,0,100,0,Off,0,0,50,59,Waimakariri District,Nil,0,0,0,0,0,0,Open,1,0,0,Mist or Fog,Frost
1761242.376,5435819.647,545917,,568602,0,,0,0,,Null,2019/2020,CAMBRIDGE TERRACE,CRESSY STREET,,Non-Injury Crash,No,2020,,West,,0,,Flat,,,,,,Bright sun,1971400,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Off,1,0,,46,Lower Hutt City,Give way,,,,,0,0,Urban,1,,,Fine,Null
1300057.99,5006219.868,545918,,608600,0,,0,2,,Null,2019/2020,KAWARAU GORGE ROAD,SH 8B,,Non-Injury Crash,Yes,2020,,South,,0,,Flat,,Christmas New Year,,,,Overcast,3031403,0,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,80,,Off,0,0,,69,Central Otago District,Give way,,,,,0,0,Open,0,,,Fine,Null
1452821.821,5298853.331,545919,,585130,0,0,0,0,0,Null,2019/2020,MACKAY STREET,CARD LANE,,Non-Injury Crash,No,2020,0,West,0,0,0,Flat,0,,1,,0,Bright sun,2407900,0,0,0,2,0,0,0,0,0,,0,0,West Coast Region,Nil,2-way,Sealed,0,0,0,0,30,0,Off,0,0,,56,Grey District,Nil,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
