Date,Open,High,Low,Close,Volume,Adj Close
1/01/2000,0.99479,1.13636,0.91062,0.99479,17386565,0.334148
1/02/2000,0.99479,1.01009,0.87235,0.92209,24075596,0.309728
1/03/2000,0.92592,1.13636,0.88383,0.92975,22855822,0.312301
1/04/2000,0.95653,1.13253,0.57024,0.86853,24980694,0.306262
1/05/2000,0.86853,1.03305,0.6,1.01392,49067003,0.357529
1/06/2000,0.95653,1.13636,0.64958,0.96418,41422696,0.33999
1/07/2000,1.06366,1.13253,0.96035,1.09427,25310006,0.385862
1/08/2000,1.09044,1.17462,0.91444,1.13253,52082595,0.399353
1/09/2000,1.13636,1.14401,0.97183,1.02922,32352661,0.362924
1/10/2000,1.06366,1.15549,0.719,1.09044,23410430,0.384512
1/11/2000,1.09044,1.1861,0.89914,1.1287,15719078,0.398003
1/12/2000,1.10957,1.22436,1.0254,1.2014,21612788,0.444468
1/01/2001,0.77851,1.35827,0.77851,1.31236,17033991,0.485519
1/02/2001,1.30853,1.3774,1.20523,1.34679,24791729,0.498257
1/03/2001,1.34297,1.40418,1.2894,1.35827,35000517,0.502504
1/04/2001,1.19375,1.38505,0.85289,1.33531,35406675,0.512406
1/05/2001,1.33531,1.42714,1.29323,1.36975,19662504,0.525622
1/06/2001,1.35827,1.47305,0.87024,1.45392,17736267,0.55792
1/07/2001,1.43479,1.47688,1.30088,1.32766,30574616,0.50947
1/08/2001,1.32001,1.51132,1.30853,1.49218,29193320,0.572602
1/09/2001,1.2167,1.48453,0.7438,0.83057,32508953,0.318719
1/10/2001,1.30088,1.35444,0.79834,1.28557,21151482,0.493318
1/11/2001,1.2894,1.47305,0.86776,1.47305,29534657,0.593355
1/12/2001,1.23966,1.51132,0.89008,1.38505,114584380,0.557908
1/01/2002,0.89751,1.67201,0.89751,0.96694,26329318,0.389491
1/02/2002,1.48836,1.69114,0.96694,1.55723,29994654,0.627264
1/03/2002,1.5534,1.70262,1.08594,1.08594,30103644,0.437425
1/04/2002,1.08594,1.81358,1.08594,1.64523,24594400,0.687495
1/05/2002,1.65288,2.05845,1.64523,1.71027,38426448,0.714673
1/06/2002,1.49218,1.76767,1.10826,1.70262,25048647,0.711477
1/07/2002,1.69497,1.70262,1.56488,1.60697,20437703,0.671507
1/08/2002,1.60697,1.95132,1.02892,1.56105,37071285,0.652319
1/09/2002,1.43097,1.72558,1.40801,1.68349,31955391,0.703483
1/10/2002,1.68349,2.00488,1.33883,1.4931,35601779,0.623924
1/11/2002,1.4931,1.52892,1.06611,1.42148,33899706,0.622299
1/12/2002,1.27933,1.53993,1.14875,1.52892,206783228,0.669334
1/01/2003,1.37602,1.84296,1.37602,1.48484,36114020,0.650037
1/02/2003,1.52892,1.77685,1.33635,1.50412,43406737,0.658477
1/03/2003,1.51514,1.7796,1.41046,1.44903,33639796,0.634359
1/04/2003,1.4325,1.85398,1.23718,1.42699,54769074,0.668541
1/05/2003,1.42699,1.8347,1.3774,1.50963,43496036,0.707258
1/06/2003,1.53167,1.68869,1.35867,1.68869,23844902,0.791147
1/07/2003,1.68318,1.68318,1.39393,1.65288,34616274,0.77437
1/08/2003,1.65288,1.80991,1.61156,1.73553,31556160,0.813091
1/09/2003,1.73553,1.87602,1.50137,1.82368,24622819,0.854389
1/10/2003,1.82368,1.92836,1.37465,1.82092,39680520,0.853096
1/11/2003,1.46556,1.91459,1.4628,1.82919,28723654,0.921497
1/12/2003,1.81817,1.94214,1.55922,1.93112,24823195,0.972847
1/01/2004,1.73801,2.01101,1.73801,1.82919,24553483,0.921497
1/02/2004,1.93112,1.93938,1.63883,1.83745,23750520,0.925658
1/03/2004,1.82643,1.88153,1.74104,1.82643,36817153,0.920107
1/04/2004,1.82643,2.10467,1.63635,1.87051,32398689,1.001011
1/05/2004,1.93663,1.95866,1.76858,1.85123,19196293,0.990694
1/06/2004,1.85123,2.21762,1.6785,1.85674,30946316,0.993642
1/07/2004,1.85674,1.96142,1.81817,1.9504,23835100,1.043765
1/08/2004,1.92836,2.05233,1.85674,2.03029,30502368,1.086518
1/09/2004,2.03029,2.19558,1.81817,1.96693,120995598,1.052611
1/10/2004,1.96693,2.03855,1.76776,1.97795,30870085,1.058509
1/11/2004,1.97795,2.15701,1.82643,2.14875,35132100,1.256549
1/12/2004,2.14875,2.23139,1.79613,2.19833,33125421,1.285542
1/01/2005,2.17629,2.25894,0.573,2.17629,40823612,1.272654
1/02/2005,2.17629,2.39668,0.51239,2.36913,55287081,1.385423
1/03/2005,2.36913,2.39668,0.53994,2.23139,45335734,1.304875
1/04/2005,2.23139,2.39117,0.61708,2.19282,54671611,1.371204
1/05/2005,8.79333,8.88148,2.02753,2.25894,42746798,1.41255
1/06/2005,2.25894,9.35531,2.03855,2.63359,32327087,1.646825
1/07/2005,2.63359,9.48754,2.33607,2.5785,43329690,1.612376
1/08/2005,2.44626,2.5785,2.28098,2.292,38180501,1.433223
1/09/2005,2.292,9.31123,2.14875,2.51238,35606000,1.57103
1/10/2005,8.92556,9.22308,1.88429,2.15977,36506605,1.350537
1/11/2005,2.19282,2.20384,2.0055,2.0055,36772234,1.278901
1/12/2005,2.0055,2.44626,1.90412,2.1818,46991297,1.391327
1/01/2006,1.96362,2.32505,1.96362,2.17078,39116234,1.384299
1/02/2006,2.17078,2.25894,1.95371,2.06059,19376162,1.314031
1/03/2006,2.06059,2.33607,2.02753,2.24792,23379881,1.433491
1/04/2006,2.1818,2.31403,1.96362,2.24792,23891960,1.458821
1/05/2006,2.2369,2.44626,2.14875,2.292,31086175,1.487427
1/06/2006,2.292,2.44626,2.04957,2.39117,29466547,1.551785
1/07/2006,2.17078,2.47932,2.10467,2.31403,28978053,1.501724
1/08/2006,2.31403,2.36913,2.10467,2.12671,70421396,1.38016
1/09/2006,2.15977,2.30302,2.06059,2.2369,39483680,1.451669
1/10/2006,2.2369,2.44626,2.00329,2.24792,38063150,1.458821
1/11/2006,2.25894,2.39117,2.2369,2.38015,68967582,1.575217
1/12/2006,2.39117,2.4683,2.16197,2.41321,31789647,1.597096
1/01/2007,2.17189,2.96417,2.17189,2.5234,25693783,1.670021
1/02/2007,2.49034,3.48207,2.26114,2.4683,30338138,1.633556
1/03/2007,2.49034,3.49309,2.44626,2.65563,37476437,1.757533
1/04/2007,2.43525,3.68042,2.32065,2.73276,33577538,1.834483
1/05/2007,2.74378,3.11844,2.68869,2.95315,57756135,1.98243
1/06/2007,2.95315,3.69144,2.50136,3.6143,48082468,2.426255
1/07/2007,3.6143,3.85672,3.44901,3.65838,86314742,2.455846
