date,price
Jan 1990,0.413
Feb 1990,0.441
Mar 1990,0.495
Apr 1990,0.518
May 1990,0.652
Jun 1990,0.679
Jul 1990,0.594
Aug 1990,0.550
Sep 1990,0.563
Oct 1990,0.570
Nov 1990,0.646
Dec 1990,0.672
Jan 1991,0.877
Feb 1991,0.927
Mar 1991,0.948
Apr 1991,0.885
May 1991,0.981
Jun 1991,0.913
Jul 1991,0.985
Aug 1991,1.143
Sep 1991,1.193
Oct 1991,1.258
Nov 1991,1.303
Dec 1991,1.491
Jan 1992,1.612
Feb 1992,1.655
Mar 1992,1.588
Apr 1992,1.478
May 1992,1.622
Jun 1992,1.407
Jul 1992,1.463
Aug 1992,1.498
Sep 1992,1.618
Oct 1992,1.784
Nov 1992,1.872
Dec 1992,1.716
Jan 1993,1.739
Feb 1993,1.676
Mar 1993,1.860
Apr 1993,1.719
May 1993,1.862
Jun 1993,1.769
Jul 1993,1.488
Aug 1993,1.510
Sep 1993,1.659
Oct 1993,1.611
Nov 1993,1.608
Dec 1993,1.621
Jan 1994,1.711
Feb 1994,1.659
Mar 1994,1.704
Apr 1994,1.860
May 1994,2.161
Jun 1994,2.076
Jul 1994,2.071
Aug 1994,2.337
Sep 1994,2.257
Oct 1994,2.533
Nov 1994,2.528
Dec 1994,2.458
Jan 1995,2.387
Feb 1995,2.533
Mar 1995,2.860
Apr 1995,3.287
May 1995,3.405
Jun 1995,3.634
Jul 1995,3.639
Aug 1995,3.719
Sep 1995,3.639
Oct 1995,4.021
Nov 1995,3.503
Dec 1995,3.528
Jan 1996,3.719
Feb 1996,3.968
Mar 1996,4.147
Apr 1996,4.554
May 1996,4.775
Jun 1996,4.830
Jul 1996,4.740
Aug 1996,4.926
Sep 1996,5.303
Oct 1996,5.519
Nov 1996,6.308
Dec 1996,6.645
Jan 1997,8.203
Feb 1997,7.841
Mar 1997,7.373
Apr 1997,9.771
May 1997,9.972
Jun 1997,10.163
Jul 1997,11.369
Aug 1997,10.630
Sep 1997,10.641
Oct 1997,10.455
Nov 1997,11.379
Dec 1997,10.394
Jan 1998,11.998
Feb 1998,13.631
Mar 1998,14.395
Apr 1998,14.496
May 1998,13.641
Jun 1998,17.431
Jul 1998,17.682
Aug 1998,15.431
Sep 1998,17.702
Oct 1998,17.029
Nov 1998,19.622
Dec 1998,22.306
Jan 1999,28.147
Feb 1999,24.146
Mar 1999,28.830
Apr 1999,26.157
May 1999,25.955
Jun 1999,29.011
Jul 1999,27.604
Aug 1999,29.775
Sep 1999,29.132
Oct 1999,29.775
Nov 1999,29.288
Dec 1999,37.556
Jan 2000,31.484
Feb 2000,28.750
Mar 2000,34.178
Apr 2000,22.437
May 2000,20.125
Jun 2000,25.734
Jul 2000,22.457
Aug 2000,22.457
Sep 2000,19.401
Oct 2000,22.156
Nov 2000,18.456
Dec 2000,13.953
Jan 2001,19.643
Feb 2001,18.979
Mar 2001,17.592
Apr 2001,21.794
May 2001,22.254
Jun 2001,23.483
Jul 2001,21.292
Aug 2001,18.352
Sep 2001,16.460
Oct 2001,18.706
Nov 2001,20.655
Dec 2001,21.311
Jan 2002,20.494
Feb 2002,18.767
Mar 2002,19.400
Apr 2002,16.811
May 2002,16.377
Jun 2002,17.596
Jul 2002,15.434
Aug 2002,15.788
Sep 2002,14.070
Oct 2002,17.200
Nov 2002,18.554
Dec 2002,16.631
Jan 2003,15.267
Feb 2003,15.248
Mar 2003,15.626
Apr 2003,16.504
May 2003,15.884
Jun 2003,16.549
Jul 2003,17.046
Aug 2003,17.117
Sep 2003,17.943
Oct 2003,16.871
Nov 2003,16.687
Dec 2003,17.764
Jan 2004,17.946
Feb 2004,17.219
Mar 2004,16.181
Apr 2004,16.960
May 2004,17.025
Jun 2004,18.537
Jul 2004,18.491
Aug 2004,17.719
Sep 2004,17.999
Oct 2004,18.207
Nov 2004,17.452
Dec 2004,19.386
Jan 2005,19.067
Feb 2005,18.254
Mar 2005,17.590
Apr 2005,18.412
May 2005,18.776
Jun 2005,18.135
Jul 2005,18.697
Aug 2005,19.989
Sep 2005,18.840
Oct 2005,18.818
Nov 2005,20.268
Dec 2005,19.204
Jan 2006,20.673
Feb 2006,19.733
Mar 2006,20.050
Apr 2006,17.795
May 2006,16.690
Jun 2006,17.236
Jul 2006,17.798
Aug 2006,19.011
Sep 2006,20.307
Oct 2006,21.316
Nov 2006,21.799
Dec 2006,22.246
Jan 2007,22.991
Feb 2007,20.987
Mar 2007,20.835
Apr 2007,22.383
May 2007,22.944
Jun 2007,22.103
Jul 2007,21.743
Aug 2007,21.548
Sep 2007,22.173
Oct 2007,27.705
Nov 2007,25.289
Dec 2007,26.883
Jan 2008,24.617
Feb 2008,20.540
Mar 2008,21.514
Apr 2008,21.620
May 2008,21.468
Jun 2008,20.931
Jul 2008,19.569
Aug 2008,20.764
Sep 2008,20.388
Oct 2008,17.058
Nov 2008,15.446
Dec 2008,14.951
Jan 2009,13.151
Feb 2009,12.420
Mar 2009,14.225
Apr 2009,15.688
May 2009,16.176
Jun 2009,18.523
Jul 2009,18.328
Aug 2009,19.209
Sep 2009,20.155
Oct 2009,21.730
Nov 2009,23.047
Dec 2009,23.991
Jan 2010,22.180
Feb 2010,22.566
Mar 2010,23.162
Apr 2010,24.150
May 2010,20.402
Jun 2010,18.278
Jul 2010,20.502
Aug 2010,18.643
Sep 2010,19.557
Oct 2010,21.298
Nov 2010,20.172
Dec 2010,22.425
Jan 2011,22.281
Feb 2011,21.357
Mar 2011,20.521
Apr 2011,20.950
May 2011,20.214
Jun 2011,21.152
Jul 2011,22.291
Aug 2011,21.640
Sep 2011,20.377
Oct 2011,21.801
Nov 2011,20.942
Dec 2011,21.413
Jan 2012,24.357
Feb 2012,26.180
Mar 2012,26.784
Apr 2012,26.585
May 2012,24.236
Jun 2012,25.565
Jul 2012,24.629
Aug 2012,25.757
Sep 2012,25.036
Oct 2012,24.009
Nov 2012,22.394
Dec 2012,22.655
Jan 2013,23.282
Feb 2013,23.579
Mar 2013,24.467
Apr 2013,28.307
May 2013,29.846
Jun 2013,29.745
Jul 2013,27.420
Aug 2013,28.764
Sep 2013,28.862
Oct 2013,30.709
Nov 2013,33.068
Dec 2013,32.690
Jan 2014,33.066
Feb 2014,33.476
Mar 2014,36.087
Apr 2014,35.567
May 2014,36.043
Jun 2014,36.971
Jul 2014,38.265
Aug 2014,40.278
Sep 2014,41.359
Oct 2014,41.886
Nov 2014,42.653
Dec 2014,41.701
Jan 2015,36.269
Feb 2015,39.367
Mar 2015,36.763
Apr 2015,43.978
May 2015,42.368
Jun 2015,40.178
Jul 2015,42.498
Aug 2015,39.604
Sep 2015,40.543
Oct 2015,48.220
Nov 2015,49.786
Dec 2015,51.164
Jan 2016,50.804
Feb 2016,46.921
Mar 2016,51.299
Apr 2016,46.320
May 2016,49.227
Jun 2016,47.860
Jul 2016,53.014
Aug 2016,53.743
Sep 2016,54.210
Oct 2016,56.393
Nov 2016,56.713
Dec 2016,58.878
Jan 2017,61.256
Feb 2017,60.621
Mar 2017,62.781
Apr 2017,65.259
May 2017,66.575
Jun 2017,66.084
Jul 2017,69.698
Aug 2017,71.683
Sep 2017,71.795
Oct 2017,80.171
Nov 2017,81.125
Dec 2017,82.859
Jan 2018,92.032
Feb 2018,90.831
Mar 2018,88.825
Apr 2018,91.015
May 2018,96.192
Jun 2018,96.384
Jul 2018,103.686
Aug 2018,109.795
Sep 2018,112.219
Oct 2018,104.801
Nov 2018,108.804
