date,price
Jan 2011,27.705
Feb 2011,25.289
Mar 2011,26.883
Apr 2011,24.617
May 2011,20.54
Jun 2011,21.514
Jul 2011,21.62
Aug 2011,21.468
Sep 2011,20.931
Oct 2011,19.569
Nov 2011,20.764
Dec 2011,20.388
Jan 2012,17.058
Feb 2012,15.446
Mar 2012,14.951
Apr 2012,13.151
May 2012,12.42
Jun 2012,14.225
Jul 2012,15.688
Aug 2012,16.176
Sep 2012,18.523
Oct 2012,18.328
Nov 2012,19.209
Dec 2012,20.155
Jan 2013,21.73
Feb 2013,23.047
Mar 2013,23.991
Apr 2013,22.18
May 2013,22.566
Jun 2013,23.162
Jul 2013,24.15
Aug 2013,20.402
Sep 2013,18.278
Oct 2013,20.502
Nov 2013,18.643
Dec 2013,19.557
Jan 2014,21.298
Feb 2014,20.172
Mar 2014,22.425
Apr 2014,22.281
May 2014,21.357
Jun 2014,20.521
Jul 2014,20.95
Aug 2014,20.214
Sep 2014,21.152
Oct 2014,22.291
Nov 2014,21.64
Dec 2014,20.377
Jan 2015,21.801
Feb 2015,20.942
Mar 2015,21.413
Apr 2015,24.357
May 2015,26.18
Jun 2015,26.784
Jul 2015,26.585
Aug 2015,24.236
Sep 2015,25.565
Oct 2015,24.629
Nov 2015,25.757
Dec 2015,25.036
Jan 2016,24.009
Feb 2016,22.394
Mar 2016,22.655
Apr 2016,23.282
May 2016,23.579
Jun 2016,24.467
Jul 2016,28.307
Aug 2016,29.846
Sep 2016,29.745
Oct 2016,27.42
Nov 2016,28.764
Dec 2016,28.862
Jan 2017,30.709
Feb 2017,33.068
Mar 2017,32.69
Apr 2017,33.066
May 2017,33.476
Jun 2017,36.087
Jul 2017,35.567
Aug 2017,36.043
Sep 2017,36.971
Oct 2017,38.265
Nov 2017,40.278
Dec 2017,41.359
Jan 2018,41.886
Feb 2018,42.653
Mar 2018,41.701
Apr 2018,36.269
May 2018,39.367
Jun 2018,36.763
Jul 2018,43.978
Aug 2018,42.368
Sep 2018,40.178
Oct 2018,42.498
Nov 2018,39.604
Dec 2018,40.543
Jan 2019,48.22
Feb 2019,49.786
Mar 2019,51.164
Apr 2019,50.804
May 2019,46.921
Jun 2019,51.299
Jul 2019,46.32
Aug 2019,49.227
Sep 2019,47.86
Oct 2019,53.014
Nov 2019,53.743
Dec 2019,54.21
Jan 2020,56.393
Feb 2020,56.713
Mar 2020,58.878
Apr 2020,61.256
May 2020,60.621
Jun 2020,62.781
Jul 2020,65.259
Aug 2020,66.575
Sep 2020,66.084
Oct 2020,69.698
Nov 2020,71.683
Dec 2020,71.795
Jan 2021,80.171
Feb 2021,81.125
Mar 2021,82.859
Apr 2021,92.032
May 2021,90.831
Jun 2021,88.825
Jul 2021,91.015
Aug 2021,96.192
Sep 2021,96.384
Oct 2021,103.686
Nov 2021,109.795
Dec 2021,112.219
Jan 2022,104.801
Feb 2022,108.804
Mar 2022,100.09
Apr 2022,102.908
May 2022,110.398
Jun 2022,116.718
Jul 2022,129.247
Aug 2022,122.398
Sep 2022,133.063
Oct 2022,135.357
Nov 2022,136.936
Dec 2022,138.559
Jan 2023,142.884
Feb 2023,149.083
