date,price
Jan 2012,1394.46
Feb 2012,1366.42
Mar 2012,1498.58
Apr 2012,1452.43
May 2012,1420.6
Jun 2012,1454.6
Jul 2012,1430.83
Aug 2012,1517.68
Sep 2012,1436.51
Oct 2012,1429.4
Nov 2012,1314.95
Dec 2012,1320.28
Jan 2013,1366.01
Feb 2013,1239.94
Mar 2013,1160.33
Apr 2013,1249.46
May 2013,1255.82
Jun 2013,1224.38
Jul 2013,1211.23
Aug 2013,1133.58
Sep 2013,1040.94
Oct 2013,1059.78
Nov 2013,1139.45
Dec 2013,1148.08
Jan 2014,1130.2
Feb 2014,1106.73
Mar 2014,1147.39
Apr 2014,1076.92
May 2014,1067.14
Jun 2014,989.82
Jul 2014,911.62
Aug 2014,916.07
Sep 2014,815.28
Oct 2014,885.76
Nov 2014,936.31
Dec 2014,879.82
Jan 2015,855.7
Feb 2015,841.15
Mar 2015,848.18
Apr 2015,916.92
May 2015,963.59
Jun 2015,974.5
Jul 2015,990.31
Aug 2015,1008.01
Sep 2015,995.97
Oct 2015,1050.71
Nov 2015,1058.2
Dec 2015,1111.92
Jan 2016,1131.13
Feb 2016,1144.94
Mar 2016,1126.21
Apr 2016,1107.3
May 2016,1120.68
Jun 2016,1140.84
Jul 2016,1101.72
Aug 2016,1104.24
Sep 2016,1114.58
Oct 2016,1130.2
Nov 2016,1173.82
Dec 2016,1211.92
Jan 2017,1181.27
Feb 2017,1203.6
Mar 2017,1180.59
Apr 2017,1156.85
May 2017,1191.5
Jun 2017,1191.33
Jul 2017,1234.18
Aug 2017,1220.33
Sep 2017,1228.81
Oct 2017,1207.01
Nov 2017,1249.48
Dec 2017,1248.29
Jan 2018,1280.08
Feb 2018,1280.66
Mar 2018,1294.87
Apr 2018,1310.61
May 2018,1270.09
Jun 2018,1270.2
Jul 2018,1276.66
Aug 2018,1303.82
Sep 2018,1335.85
Oct 2018,1377.94
Nov 2018,1400.63
Dec 2018,1418.3
Jan 2019,1438.24
Feb 2019,1406.82
Mar 2019,1420.86
Apr 2019,1482.37
May 2019,1530.62
Jun 2019,1503.35
Jul 2019,1455.27
Aug 2019,1473.99
Sep 2019,1526.75
Oct 2019,1549.38
Nov 2019,1481.14
Dec 2019,1468.36
